stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.004215100008877926,,0.0019640000100480393,0.004215100008877926,0.5039850000030128,0.5039850000030128,0.5039850000030128,0.8037617000081809,1.2268703000008827,left,-10.0,1,1,0.716008100003819,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
1,2,8.0,1.2370768999971915,,1.2269994000089355,1.2370768999971915,1.737380500009749,1.737380500009749,1.737380500009749,2.0372984999994515,2.404574900006992,left,-8.0,1,1,0.6557744000019738,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
2,2,6.0,2.420445399999153,,2.4049069000029704,2.420445399999153,2.920716300010099,2.904115199999069,2.904115199999069,3.203925599998911,3.521056800003862,left,-6.0,1,1,0.6020250000001397,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
3,2,4.0,3.537046299999929,,3.5213890000013635,3.537046299999929,4.037183799999184,4.020532100010314,4.020532100010314,4.3205050000105985,4.5706586000014795,right,4.0,1,1,0.5461129999894183,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
4,2,2.0,4.587168199999724,,4.570834099999047,4.587168199999724,5.087144800010719,5.0704346999991685,5.0704346999991685,5.370284700009506,6.037840800010599,left,-2.0,1,1,0.951704899998731,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
5,2,1.0,6.053890600000159,,6.038121000005049,6.053890600000159,6.553899400008959,6.537077500004671,6.537077500004671,6.837142300006235,7.104242100002011,right,1.0,1,1,0.55155950000335,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
6,2,1.0,7.1205005000083474,,7.104474500010838,7.1205005000083474,7.620620500005316,7.603981100008241,7.603981100008241,7.90393810000387,8.171032800004468,right,1.0,1,1,0.5557706999970833,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
7,2,1.0,8.18675200000871,,8.171446799999103,8.18675200000871,8.68708930000139,8.67054370000551,8.67054370000551,8.970199500006856,9.136910100001842,right,1.0,1,1,0.4562278000084916,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
8,1,1.0,9.15363939999952,,9.137049900004058,9.15363939999952,9.65395069999795,9.637113999997382,9.637113999997382,9.936854200001108,10.087411800006521,left,-1.0,0,0,0.4389457999932347,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
9,1,2.0,10.103571600004216,,10.087661300000036,10.103571600004216,10.603758600002038,10.587126700003864,10.587126700003864,10.886962700009462,11.254070499999216,right,2.0,1,1,0.6562813999917125,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
10,1,2.0,11.270206600005622,,11.254340200001025,11.270206600005622,11.770243600010872,11.753530500005581,11.753530500005581,12.053427200007718,12.270878299998003,left,-2.0,1,1,0.5012014000094496,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
11,1,2.0,12.2867469000048,,12.271152700006496,12.2867469000048,12.786781100003282,12.770286300001317,12.770286300001317,13.069922800001223,13.3039795000077,right,2.0,1,1,0.531531200002064,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
12,1,1.0,13.32021160000295,,13.304339100010111,13.32021160000295,13.820225900009973,13.803500100009842,13.803500100009842,14.103322399998433,14.187243100008345,left,-1.0,1,1,0.3786283000081312,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
13,0.5,1.0,14.203380100007053,,14.187472600009642,14.203380100007053,14.703690399997868,14.68674610000744,14.68674610000744,14.986665500007803,15.587151800005813,left,-1.0,0,0,0.8840596999943955,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
14,0.5,1.5,15.603367700008675,,15.587404100006097,15.603367700008675,16.104046599997673,16.086631800004398,16.086631800004398,16.38648660000763,17.319900800008327,right,1.5,1,1,1.230485599997337,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
15,0.5,1.5,17.336571500010905,,17.32007080000767,17.336571500010905,17.836660700006178,17.81999080000969,17.81999080000969,18.119772500009276,18.33667570000398,left,-1.5,1,1,0.5147702999965986,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
16,0.5,1.5,18.353118500002893,,18.336859200004255,18.353118500002893,18.853375100006815,18.83669860000373,18.83669860000373,19.136532200005604,19.3702287000051,right,1.5,1,1,0.5311881999950856,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
17,0.5,1.0,19.386493099998916,,19.370500300006825,19.386493099998916,19.88664680000511,19.869868000008864,19.869868000008864,20.169680799997877,20.303384900005767,left,-1.0,1,1,0.42858130000240635,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
18,0.5,1.0,20.31939410000632,,20.303631700007827,20.31939410000632,20.81971350000822,20.803051399998367,20.803051399998367,21.103034900006605,21.18661950000387,right,1.0,1,1,0.3759185999952024,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
19,0.5,1.0,21.20309540000744,,21.186814900007448,21.20309540000744,21.703204800011008,21.68654989999777,21.68654989999777,21.986373599997023,22.17029029999685,right,1.0,0,0,0.47179789999790955,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
20,0.5,1.5,22.186205400008475,,22.170557999997982,22.186205400008475,22.686413500006893,22.669867400007206,22.669867400007206,22.969645200006198,24.103480200006743,right,1.5,1,1,1.4171975999925053,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
21,0.5,1.5,24.119677599999704,,24.103774000002886,24.119677599999704,24.61951489999774,24.602796799998032,24.602796799998032,24.90259589999914,25.32005670000217,right,1.5,1,1,0.7128853999893181,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
22,0.5,1.5,25.336001400006353,,25.320370600005845,25.336001400006353,25.83636890001071,25.819640400004573,25.819640400004573,26.119482599999174,26.23669800000789,left,-1.5,1,1,0.4020347000041511,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
23,0.5,1.0,26.252762800009805,,26.23697890000767,26.252762800009805,26.752924500004156,26.736286200000905,26.736286200000905,27.036174499997287,27.13646160000644,left,-1.0,0,0,0.39568630000576377,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
24,0.5,1.5,27.152737600001274,,27.136659900002996,27.152737600001274,27.652869099998497,27.63630430000194,27.63630430000194,27.936080200001015,28.153282500003115,right,1.5,1,1,0.5006531999970321,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
25,0.5,1.5,28.16940520000935,,28.15355470000941,28.16940520000935,28.669569999998203,28.652838200010592,28.652838200010592,28.95274030001019,30.303330199996708,left,-1.5,1,1,1.6397462000022642,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
26,0.5,1.5,30.319012500011013,,30.303671600006055,30.319012500011013,30.819274100009352,30.802730800001882,30.802730800001882,31.102667200000724,31.18664230000286,right,1.5,1,1,0.3805436999973608,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
27,0.5,1.0,31.202629400009755,,31.186909500000183,31.202629400009755,31.703763500001514,31.686034199999995,31.686034199999995,31.985916300007375,32.26942500000587,left,-1.0,1,1,0.5769704999984242,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
28,0.5,1.0,32.285826799998176,,32.269650900008855,32.285826799998176,32.78583059999801,32.76916820000042,32.76916820000042,33.06908899999689,33.40304279999691,left,-1.0,1,1,0.6316089999891119,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
29,0.5,1.0,33.41913170000771,,33.40332650000346,33.41913170000771,33.91908370000601,33.90270040000905,33.90270040000905,34.20265510000172,34.669139400008135,left,-1.0,1,1,0.7604401999997208,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
30,0.5,1.0,34.685522700005095,,34.66930680000223,34.685522700005095,35.1857386000047,35.16899960000592,35.16899960000592,35.4689747000084,35.836234900009,left,-1.0,1,1,0.6624860000010813,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
31,0.5,1.0,35.85244070000772,,35.83649319999677,35.85244070000772,36.35261410000385,36.33581090001098,36.33581090001098,36.635562700001174,36.81941260000167,left,-1.0,1,1,0.4712048999936087,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
32,0.5,1.0,36.83565890000318,,36.81964080000762,36.83565890000318,37.33580020000227,37.31897530000424,37.31897530000424,37.618763000005856,37.90282119999756,left,-1.0,1,1,0.5712365000072168,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
33,0.5,1.0,37.91867680000723,,37.90318120000302,37.91867680000723,38.41891350000515,38.4023051999975,38.4023051999975,38.702249299996765,38.86949209999875,left,-1.0,1,1,0.45522170000185724,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
34,0.5,1.0,38.88559070001065,,38.869748099998105,38.88559070001065,39.38542469999811,39.38542469999811,39.38542469999811,39.6854800000001,39.952662199997576,left,-1.0,1,1,0.5594679000059841,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
35,0.5,1.0,39.968851199999335,,39.952866699997685,39.968851199999335,40.4689051000023,40.452241799997864,40.452241799997864,40.75200990001031,41.01924059999874,right,1.0,0,0,0.5540817999863066,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
36,0.5,1.5,41.03535040000861,,41.01958680000098,41.03535040000861,41.53555149999738,41.51885020000918,41.51885020000918,41.818647300009616,41.952277400007006,right,1.5,0,0,0.41814850000082515,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
37,0.5,2.0,41.96869520000473,,41.95245120000618,41.96869520000473,42.46852789999684,42.4521967000037,42.4521967000037,42.7520177999977,43.285857800001395,right,2.0,1,1,0.8268344000098296,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
38,0.5,2.0,43.301997200003825,,43.28608940000413,43.301997200003825,43.80186550000508,43.78531390000717,43.78531390000717,44.08519850000448,44.7526222000015,right,2.0,1,1,0.9532690000050934,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
39,0.5,2.0,44.76857529999688,,44.75289869999688,44.76857529999688,45.26858920000086,45.25202290000743,45.25202290000743,45.551891900002374,45.80201520000992,right,2.0,1,1,0.5376916999957757,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
40,0.5,1.5,45.81848300001002,,45.80229120000149,45.81848300001002,46.31852169999911,46.301826000009896,46.301826000009896,46.601693900011014,46.818895500007784,right,1.5,0,0,0.5057109000044875,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
