thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,down,1,1.4006221999879926,None,-3,0,0,0,0,0.004756100010126829,,0.0027129999944008887,0.004756100010126829,1.0029447000124492,1.0197486999677494,2.4247208000160754,down,1,1.4006221999879926,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
1,0,1,up,1,0.7193255000165664,None,0,1,0,1,0,2.4363990999991074,,2.424881400016602,2.4363990999991074,3.4362582999747247,3.4362582999747247,4.170200799999293,up,1,0.7193255000165664,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
2,0,2,up,1,0.65177749999566,None,0,2,0,2,0,4.186430100002326,,4.1705435999901965,4.186430100002326,5.169610599987209,5.186191599990707,5.837085300008766,up,1,0.65177749999566,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
3,0,3,down,1,0.6453252999926917,None,4,3,0,3,0,5.852887999964878,,5.837736200017389,5.852887999964878,6.836665700015146,6.852750899968669,7.486700700013898,down,1,0.6453252999926917,None,4,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
4,0,4,up,0,0.6093610000098124,None,-2,4,0,4,0,7.503020200005267,,7.487041799991857,7.503020200005267,8.48612969997339,8.502998700016178,9.10295309999492,up,0,0.6093610000098124,None,-2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
5,0,5,down,0,1.125932199996896,None,0,5,0,5,0,9.119430299964733,,9.103192000009585,9.119430299964733,10.102765699964948,10.119477299973369,11.236148399999365,down,0,1.125932199996896,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
6,0,6,down,0,3.7779739999677986,None,0,6,0,6,0,11.252476900001056,,11.236311899963766,11.252476900001056,12.235808699973859,12.25259340001503,16.019182699965313,down,0,3.7779739999677986,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
7,0,7,up,0,0.6559493999811821,None,-3,7,0,7,0,16.03553940000711,,16.019472799962386,16.03553940000711,17.019100399978925,17.035727999988012,17.685977399989497,up,0,0.6559493999811821,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
8,0,8,up,0,0.9014529000269249,None,-3,8,0,8,0,17.702419699984603,,17.68632430001162,17.702419699984603,18.685716499981936,18.70242960000178,19.602822799992282,up,0,0.9014529000269249,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
9,0,9,down,1,0.6797860999940895,None,3,9,0,9,0,19.619065099977888,,19.603169100009836,19.619065099977888,20.602360199962277,20.61910509999143,21.285623400006443,down,1,0.6797860999940895,None,3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
10,0,10,down,0,0.9259783999877982,None,0,10,0,10,0,21.30217390001053,,21.285811399982776,21.30217390001053,22.28554399998393,22.301993699977174,23.218900499981828,down,0,0.9259783999877982,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
11,0,11,down,1,0.747776200005319,None,-5,11,0,11,0,23.23545059998287,,23.21913849998964,23.23545059998287,24.218671099981293,24.235129399981815,24.96936220000498,down,1,0.747776200005319,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
